[0820/180140.535:ERROR:gles2_command_buffer_stub.cc(226)] ContextResult::kFatalFailure: Failed to create surface.
[0820/180140.551:ERROR:gpu_process_transport_factory.cc(1029)] Lost UI shared context.
[0906/211215.167:INFO:CONSOLE(1)] ":track:checked:90", source: about:blank (1)
[0906/211215.167:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/211246.910:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/211304.834:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/211330.047:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/211346.459:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/211350.402:INFO:CONSOLE(1)] ":track:checked:77", source: about:blank (1)
[0906/211350.431:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
[0906/211413.979:INFO:CONSOLE(2)] "Mixed Content: The page at 'https://www.bcscertus.com/workflow.aspx?c=36' was loaded over HTTPS, but requested an insecure image 'http://certus-prod-logos.s3-website-us-east-1.amazonaws.com/daef7ae5-baac-455d-8679-9efab14eb56e.png'. This content should also be served over HTTPS.", source: https://www.bcscertus.com/ScriptResource.axd?d=SWKHTWn8YMGAH-1yQg9H5ga2cQT_pHNRJyQ9MrzIN9qTEVNKgah0UsaoUtNJNmFrBS8fvP5OwQ3vNs5EJDpqdkHoT6UnR7gyS0RwO96NlYQhloolw_8c4h58NH-air54tK8BgHw-3fEG84JKZmapeA2&t=3a1336b1 (2)
[0906/211430.104:INFO:CONSOLE(1)] ":continue:", source: about:blank (1)
